id,domain_url,organization,resource_count,center_lat,center_long,center_zoom,address
1,2014bonds.cityofws.org,"City of Winston-Salem, NC",NULL,36.099861,-80.244217,NULL,NULL
2,amopen.amo.on.ca,"Municipalities of Ontario, Canada",NULL,43.777702,-79.233238,NULL,NULL
3,apd-data.albanyny.gov,"City of Albany Police Department, NY",NULL,42.652580,-73.756233,NULL,NULL
4,bchi.bigcitieshealth.org,"The Big Cities Health Coalition (BCHC)",NULL,38.984653,-77.094711,NULL,NULL
5,bea.data.commerce.gov,"The Bureau of Economic Analysis (BEA)",NULL,38.845980,-76.927500,NULL,NULL
6,bis.data.commerce.gov,"The Bureau of Industry and Security (BIS)",NULL,38.892647,-77.032818,NULL,NULL
7,brigades.opendatanetwork.com,"Brigade Open Data Sharing Platform",NULL,38.883216,-77.131307,NULL,NULL
8,bronx.lehman.cuny.edu,"Lehman College",NULL,40.874890,-73.893176,NULL,NULL
9,bythenumbers.sco.ca.gov,"California State Controller Office",NULL,38.578678,-121.503769,NULL,NULL
10,census.data.commerce.gov,"U.S. Census Bureau",NULL,38.845980,-76.927500,NULL,NULL
11,chhs.data.ca.gov,"California Health and Human Services - State of California",NULL,38.573935,-121.498018,NULL,NULL
12,chronicdata.cdc.gov,"Centers for Disease Control and Prevention (CDC)",NULL,33.800072,-84.329712,NULL,NULL
13,churned-data.awcnet.org,"Association of Washington Cities",NULL,47.038350,-122.897780,NULL,NULL
14,cipdata.cityofnovi.org,"City of Novi, MI",NULL,42.480591,-83.475494,NULL,NULL
15,controllerdata.lacity.org,"Los Angeles City Controller, CA",NULL,34.053260,-118.242190,NULL,NULL
16,corstat.coronaca.gov,"City of Corona, CA",NULL,33.862122,-117.563200,NULL,NULL
17,daisi.datacenterresearch.org,"Southeast Louisiana New Orleans Data Center, LA",NULL,29.952931,-90.073130,NULL,NULL
18,dashboard.alexandriava.gov,"City of Alexandria, VA",NULL,38.820450,-77.050552,NULL,NULL
19,dashboard.edmonton.ca,"City of Edmonton, Canada",NULL,53.631611,-113.323975,NULL,NULL
20,dashboard.hawaii.gov,"State of Hawaii",NULL,21.315603,-157.858093,NULL,NULL
21,dashboard.plano.gov,"City of Plano, TX",NULL,33.019844,-96.698883,NULL,NULL
22,dashboard.slco.org,"Salt Lake County, UT",NULL,40.758701,-111.876183,NULL,NULL
